pressure [db]	time [yyyymmddhhmmssmmm]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	qc flag	spar [umol m-2 s-1]	temperature [degc]	angular scattering coef at 117° 470 nm [m-1 sr-1]	bbp470 [m-1]	beam transmission 660 nm [%]	beam attenuation coef 660 nm [m-1]	nitrate isus [µmol/l]	oxygen  [ml/l]	oxygen  [umol/kg]	oxygen per sat [µmol/kg]	par ratio [%]	part backscattering coef 470 nm [m-1]	ph	time [second]
752.0		0.0199	3.867068		744.283						0.0		9.7799	35.3805	0		9.8693			99.8802									
753.0		0.0191	3.86553		745.267						0.0		9.765	35.3789	0		9.8545			99.8797									
754.0		0.0163	3.864042		746.252						0.0		9.7511	35.377	0		9.8406			99.8802									
755.0		0.0159	3.862402		747.243						0.0		9.7353	35.3752	0		9.8248			99.8783									
756.0		0.0165	3.859764		748.237						0.0		9.7106	35.3725	0		9.8001			99.8758									
757.0		0.0192	3.858141		749.224						0.0		9.695	35.3707	0		9.7845			99.8757									
758.0		0.0205	3.8561		750.212						0.0		9.6758	35.3682	0		9.7654			99.8736									
759.0		0.0201	3.855617		751.196						0.0		9.6702	35.3679	0		9.7599			99.8747									
760.0		0.0182	3.855771		752.183						0.0		9.6699	35.3689	0		9.7597			99.8757									
761.0		0.0181	3.855954		753.169						0.0		9.6703	35.3695	0		9.7603			99.8757									
762.0		0.0201	3.855946		754.16						0.0		9.6696	35.3694	0		9.7596			99.8757									
763.0		0.0215	3.855848		755.159						0.0		9.6681	35.3691	0		9.7583			99.8757									
764.0		0.0201	3.855218		756.142						0.0		9.6616	35.3684	0		9.7519			99.8757									
765.0		0.0197	3.854789		757.121						0.0		9.6569	35.3679	0		9.7472			99.8619									
766.0		0.0201	3.854754		758.109						0.0		9.6555	35.3682	0		9.7459			99.877									
767.0		0.0214	3.855028		759.099						0.0		9.6563	35.3695	0		9.7468			99.8863									
768.0		0.0192	3.855178		760.088						0.0		9.6565	35.3701	0		9.7472			99.883									
769.0		0.0192	3.855143		761.071						0.0		9.6546	35.371	0		9.7454			99.8757									
770.0		0.0176	3.855466		762.067						0.0		9.6562	35.372	0		9.7472			99.8744									
771.0		0.0183	3.856205		763.05						0.0		9.6606	35.3745	0		9.7517			99.8743									
772.0		0.0216	3.8561		764.034						0.0		9.6575	35.376	0		9.7487			99.8742									
773.0		0.0208	3.855888		765.026						0.0		9.6541	35.3765	0		9.7454			99.8757									
774.0		0.0233	3.855319		766.022						0.0		9.6471	35.3772	0		9.7385			99.8742									
775.0		0.0222	3.854583		767.016						0.0		9.6386	35.3776	0		9.7301			99.8576									
776.0		0.0222	3.854174		767.991						0.0		9.6338	35.3774	0		9.7254			99.874									
777.0		0.022	3.854222		768.971						0.0		9.6337	35.3774	0		9.7254			99.8549									
778.0		0.024	3.852304		769.958						0.0		9.6154	35.3754	0		9.7071			99.8512									
779.0		0.0227	3.853696		770.953						0.0		9.6249	35.3794	0		9.7168			99.8547									
780.0		0.0237	3.854924		771.946						0.0		9.6344	35.3818	0		9.7265			99.8529									
781.0		0.0264	3.855107		772.931						0.0		9.6352	35.3823	0		9.7274			99.8527									
782.0		0.0249	3.854909		773.922						0.0		9.6324	35.3825	0		9.7247			99.8511									
783.0		0.0221	3.854733		774.905						0.0		9.63	35.3825	0		9.7224			99.8498									
784.0		0.0252	3.854643		775.897						0.0		9.6284	35.3826	0		9.7209			99.8498									
785.0		0.0252	3.854549		776.888						0.0		9.6269	35.3825	0		9.7196			99.8464									
786.0		0.0235	3.854051		777.875						0.0		9.621	35.3827	0		9.7138			99.84									
787.0		0.0209	3.853921		778.85						0.0		9.6187	35.383	0		9.7116			99.8508									
788.0		0.0236	3.853324		779.833						0.0		9.612	35.3831	0		9.7049			99.8498									
789.0		0.025	3.852462		780.824						0.0		9.602	35.3837	0		9.695			99.8407									
